Time,Core,IPC,LLC Misses,LLC[KB],MBL[MB/s],MBR[MB/s]
2020-12-24 16:54:58,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,25268775,76560.0,2669.3,531.5
2020-12-24 16:54:59,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,19524127,76480.0,2291.2,383.7
2020-12-24 16:55:00,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,22205993,76640.0,2465.2,313.4
2020-12-24 16:55:01,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,23484054,76680.0,2510.4,543.8
2020-12-24 16:55:02,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,26930622,76600.0,2862.6,533.5
2020-12-24 16:55:03,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,22308441,76680.0,2462.7,464.7
2020-12-24 16:55:04,"10-19,50-59,20-29,60-69,30-39,70-79",1.42,24935011,76400.0,2675.8,573.4
2020-12-24 16:55:05,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,22611605,76640.0,2630.0,335.4
2020-12-24 16:55:06,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,25887839,76600.0,2872.7,308.3
2020-12-24 16:55:07,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,24128812,76680.0,2571.2,603.6
2020-12-24 16:55:08,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,22713210,76520.0,2562.3,356.5
2020-12-24 16:55:09,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,23765349,76520.0,2676.4,324.9
2020-12-24 16:55:10,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,23424149,76680.0,2540.6,477.1
2020-12-24 16:55:11,"10-19,50-59,20-29,60-69,30-39,70-79",1.49,28969470,76640.0,2955.4,541.9
2020-12-24 16:55:12,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,22303502,76640.0,2395.8,474.2
2020-12-24 16:55:13,"10-19,50-59,20-29,60-69,30-39,70-79",1.39,23144345,76200.0,2645.6,646.9
2020-12-24 16:55:14,"10-19,50-59,20-29,60-69,30-39,70-79",1.48,25448355,76600.0,2914.6,643.5
2020-12-24 16:55:15,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,22317329,76520.0,2547.7,365.1
2020-12-24 16:55:16,"10-19,50-59,20-29,60-69,30-39,70-79",1.44,22305931,76640.0,2452.2,412.9
2020-12-24 16:55:17,"10-19,50-59,20-29,60-69,30-39,70-79",1.46,24290851,76680.0,2662.9,501.8
2020-12-24 16:55:18,"10-19,50-59,20-29,60-69,30-39,70-79",1.51,19909830,76680.0,2376.1,307.8
2020-12-24 16:55:19,"10-19,50-59,20-29,60-69,30-39,70-79",1.47,22036995,76520.0,2466.6,458.1
2020-12-24 16:55:20,"10-19,50-59,20-29,60-69,30-39,70-79",1.45,21118285,76520.0,2433.1,315.3
