# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
# gpu   pwr gtemp mtemp    sm   mem   enc   dec  mclk  pclk pviol tviol    fb  bar1 sbecc dbecc   pci rxpci txpci
# Idx     W     C     C     %     %     %     %   MHz   MHz     %  bool    MB    MB  errs  errs  errs  MB/s  MB/s
    0    62    47     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    67    53     -    24     3     0     0  6800  1500     0     0  8254    19     -     -     0    12     0
    2    66    45     -    23     3     0     0  6800  1350     0     0  5563    15     -     -     0    66     4
    0    62    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0     1     0
    1    98    54     -    32     3     0     0  6800  1845     0     0  8254    19     -     -     0    16     0
    2    75    45     -    24     3     0     0  6800  1515     0     0  5563    15     -     -     0     1     1
    0    82    47     -    13     5     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   106    54     -    28     3     0     0  6800  1860     0     0  8254    19     -     -     0    78    23
    2    70    45     -    11     2     0     0  6800  1350     0     0  5563    15     -     -     0    64     4
    0    72    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    75    53     -    30     4     0     0  6800  1485     0     0  8254    19     -     -     0   144     2
    2    69    45     -    14     2     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    81    47     -    13     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    74    54     -    31     4     0     0  6800  1905     0     0  8254    19     -     -     0     0     0
    2    75    45     -    19     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    72    47     -    11     3     0     0  6800  1350     0     0  5621    15     -     -     0    15     0
    1    92    54     -    26     3     0     0  6800  1905     0     0  8254    19     -     -     0    98    22
    2    66    46     -    15     3     0     0  6800  1350     0     0  5563    15     -     -     0     2     0
    0    68    47     -    14     4     0     0  6800  1350     0     0  5621    15     -     -     0   283     0
    1   107    55     -    29     4     0     0  6800  1905     0     0  8254    19     -     -     0     0    15
    2    77    46     -    15     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    82    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    69    54     -    28     3     0     0  6800  1545     0     0  8254    19     -     -     0   103    23
    2    71    45     -    17     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    79    48     -    15     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1    85    54     -    27     3     0     0  6800  1875     0     0  8254    19     -     -     0   142     2
    2    72    45     -    21     2     0     0  6800  1350     0     0  5563    15     -     -     0   264     6
    0    71    48     -    13     4     0     0  6800  1350     0     0  5621    15     -     -     0     0     0
    1   100    55     -    19     2     0     0  6800  1905     0     0  8254    19     -     -     0     0    15
    2    66    45     -    19     3     0     0  6800  1350     0     0  5563    15     -     -     0     4     0
    0    62    47     -    10     3     0     0  6800  1350     0     0  5621    15     -     -     0   262     0
    1    96    55     -    29     3     0     0  6800  1905     0     0  8254    19     -     -     0   102     3
    2    78    45     -    22     3     0     0  6800  1350     0     0  5563    15     -     -     0     0     0
    0    78    48     -    15     4     0     0  6800  1350     0     0  5621    15     -     -     0    18     2
    1   121    54     -    28     4     0     0  6800  1650     0     0  8254    19     -     -     0     0     0
    2    78    45     -    18     2     0     0  6800  1350     0     0  5563    15     -     -     0     1     1
